LinkRef,LinkDescription,StartJunction,EndJunction,StartX,StartY,EndX,EndY
LM706,M5 between M5 J22 and M5 J21 (LM706),M5 J22,M5 J21,334005,148952,337862,162520
LM707,M5 between M5 J21 and M5 J22 (LM707),M5 J21,M5 J22,337902,162632,334027,148952
LM708,M5 between M5 J23 and M5 J22 (LM708),M5 J23,M5 J22,331499,141272,334005,148952
LM709,M5 between M5 J22 and M5 J23 (LM709),M5 J22,M5 J23,334027,148952,331533,141385
LM71,A194(M) between A182 and A195 (LM71),A182,A195,429147,557638,430251,560013
LM710,M5 between M5 J24 and M5 J23 (LM710),M5 J24,M5 J23,330456,134053,331499,141272
LM711,M5 between M5 J23 and M5 J24 (LM711),M5 J23,M5 J24,331533,141385,330539,134140
LM712,M5 between M5 J25 and M5 J24 (LM712),M5 J25,M5 J24,325463,124763,330456,134053
LM713,M5 between M5 J24 and M5 J25 (LM713),M5 J24,M5 J25,330539,134140,325534,124858
LM714,M5 between M5 J26 and M5 J25 (LM714),M5 J26,M5 J25,316387,119962,325463,124763
LM715,M5 between M5 J25 and M5 J26 (LM715),M5 J25,M5 J26,325534,124858,316505,119970
LM716,M5 between M5 J27 and M5 J26 (LM716),M5 J27,M5 J26,304712,113973,316387,119962
LM717,M5 between M5 J26 and M5 J27 (LM717),M5 J26,M5 J27,316505,119970,304802,114055
LM718,M5 between M5 J28 and M5 J27 (LM718),M5 J28,M5 J27,302703,107732,304712,113973
LM719,M5 between M5 J27 and M5 J28 (LM719),M5 J27,M5 J28,304802,114055,302722,107730
LM72,A194(M) between A195 and A182 (LM72),A195,A182,430342,560094,429220,557735
LM720,M5 between M5 J29 and M5 J28 (LM720),M5 J29,M5 J28,296874,93146,302703,107732
LM721,M5 between M5 J28 and M5 J29 (LM721),M5 J28,M5 J29,302722,107730,296891,93174
LM722,M5 between M5 J2 and M5 J1 (LM722),M5 J2,M5 J1,398786,288274,401734,290372
LM723,M5 between M5 J1 and M5 J2 (LM723),M5 J1,M5 J2,401809,290504,398840,288343
LM724,M5 between M5 J3 and M5 J2 (LM724),M5 J3,M5 J2,399017,283384,398786,288274
LM725,M5 between M5 J2 and M5 J3 (LM725),M5 J2,M5 J3,398840,288343,399116,283533
LM726,M5 between M5 J30 and M5 J29 (LM726),M5 J30,M5 J29,296720,91276,296874,93146
LM727,M5 between M5 J29 and M5 J30 (LM727),M5 J29,M5 J30,296891,93174,296792,91416
LM728,M5 between M5 J31 and M5 J30 (LM728),M5 J31,M5 J30,293023,87875,296720,91276
LM729,M5 between M5 J30 and M5 J31 (LM729),M5 J30,M5 J31,296792,91416,293032,87856
LM73,A3(M) between A3(M) J2 and A3(M) J1 (LM73),A3(M) J2,A3(M) J1,470463,112353,470521,114185
LM730,M5 between M5 J5 and M5 J4A (LM730),M5 J5,M5 J4A,391889,265506,394966,272167
LM731,M5 between M5 J4A and M5 J5 (LM731),M5 J4A,M5 J5,395183,272500,391901,265524
LM732,M5 between M5 J4 and M5 J3 (LM732),M5 J4,M5 J3,396908,275568,399017,283384
LM733,M5 between M5 J3 and M5 J4 (LM733),M5 J3,M5 J4,399116,283533,396949,275670
LM734,M5 between M5 J4A and M5 J4 (LM734),M5 J4A,M5 J4,394966,272167,396908,275568
LM735,M5 between M5 J4 and M5 J4A (LM735),M5 J4,M5 J4A,396949,275670,395183,272500
LM736,M5 between M5 J6 and M5 J5 (LM736),M5 J6,M5 J5,389274,257107,391889,265506
LM737,M5 between M5 J5 and M5 J6 (LM737),M5 J5,M5 J6,391901,265524,389343,257260
LM738,M5 between M5 J7 and M5 J6 (LM738),M5 J7,M5 J6,387718,252216,389274,257107
LM739,M5 between M5 J6 and M5 J7 (LM739),M5 J6,M5 J7,389343,257260,387814,252348
LM74,A3(M) between A3(M) J1 and A3(M) J2 (LM74),A3(M) J1,A3(M) J2,470536,114137,470474,112471
LM740,M5 between M5 J8 and M5 J7 (LM740),M5 J8,M5 J7,390825,238728,387718,252216
LM741,M5 between M5 J7 and M5 J8 (LM741),M5 J7,M5 J8,387814,252348,390774,238923
LM742,M5 between M5 J10 and M5 J9 (LM742),M5 J10,M5 J9,390454,225616,391595,233068
LM743,M5 between M5 J9 and M5 J10 (LM743),M5 J9,M5 J10,391627,233184,390478,225613
LM744,M5 between M5 J9 and M5 J8 (LM744),M5 J9,M5 J8,391595,233068,390825,238728
LM745,M5 between M5 J8 and M5 J9 (LM745),M5 J8,M5 J9,390774,238923,391627,233184
LM746,M5 between M5 J1 and M6 J8 (LM746),M5 J1,M6 J8,401734,290372,401587,295576
LM747,M5 between M6 J8 and M5 J1 (LM747),M6 J8,M5 J1,401599,295598,401809,290504
LM748,M602 between M602 J2 and M602 J1 (LM748),M602 J2,M602 J1,378218,398870,375111,399047
LM749,M602 between M602 J1 and M602 J2 (LM749),M602 J1,M602 J2,375094,399056,378117,398891
LM75,A3(M) between A3(M) J3 and A3(M) J2 (LM75),A3(M) J3,A3(M) J2,469508,108914,470463,112353
LM750,M602 between M602 J3 and M602 J2 (LM750),M602 J3,M602 J2,381325,398162,378218,398870
LM751,M602 between M602 J2 and M602 J3 (LM751),M602 J2,M602 J3,378117,398891,381335,398173
LM752,M606 between M606 J1 and M606 J2 (LM752),M606 J1,M606 J2,417789,426026,417132,428685
LM753,M606 between M606 J2 and M606 J1 (LM753),M606 J2,M606 J1,417156,428666,418163,426718
LM754,M606 between M606 J2 and A6177 (LM754),M606 J2,A6177,417132,428685,416609,430211
LM755,M606 between A6177 and M606 J2 (LM755),A6177,M606 J2,416553,430415,417156,428666
LM756,M60 between M60 J10 and M60 J11 (LM756),M60 J10,M60 J11,376439,396439,375313,397752
LM757,M60 between M60 J11 and M60 J10 (LM757),M60 J11,M60 J10,375288,397849,376359,396493
LM758,M60 between M60 J9 and M60 J10 (LM758),M60 J9,M60 J10,377581,395704,376439,396439
LM759,M60 between M60 J10 and M60 J9 (LM759),M60 J10,M60 J9,376359,396493,377565,395790
LM76,A3(M) between A3(M) J2 and A3(M) J3 (LM76),A3(M) J2,A3(M) J3,470474,112471,469568,109039
LM760,M60 between M60 J11 and M60 J12 (LM760),M60 J11,M60 J12,375313,397752,375098,399040
LM761,M60 between M60 J12 and M60 J11 (LM761),M60 J12,M60 J11,375106,399063,375288,397849
LM762,M60 between M60 J12 and M60 J13 (LM762),M60 J12,M60 J13,375098,399040,374590,400006
LM763,M60 between M60 J13 and M60 J12 (LM763),M60 J13,M60 J12,374587,400211,375106,399063
LM764,M60 between M60 J13 and M60 J14 (LM764),M60 J13,M60 J14,374590,400006,375559,401866
LM765,M60 between M60 J14 and M60 J13 (LM765),M60 J14,M60 J13,375579,401874,374587,400211
LM766,M60 between M60 J14 and M60 J15 (LM766),M60 J14,M60 J15,375559,401866,376686,403193
LM767,M60 between M60 J15 and M60 J14 (LM767),M60 J15,M60 J14,376710,403170,375579,401874
LM768,M60 between M60 J15 and M60 J16 (LM768),M60 J15,M60 J16,376686,403193,378141,403487
LM769,M60 between M60 J16 and M60 J15 (LM769),M60 J16,M60 J15,378248,403500,376710,403170
LM77,A3(M) between A3(M) J4 and A3(M) J3 (LM77),A3(M) J4,A3(M) J3,469300,107364,469508,108914
LM770,M60 between M60 J16 and M60 J17 (LM770),M60 J16,M60 J17,378141,403487,380885,404714
LM771,M60 between M60 J17 and M60 J16 (LM771),M60 J17,M60 J16,380996,404762,378248,403500
LM772,M60 between M60 J17 and M60 J18 (LM772),M60 J17,M60 J18,380885,404714,382835,405950
LM773,M60 between M60 J18 and M60 J17 (LM773),M60 J18,M60 J17,382833,405925,380996,404762
LM774,M60 between M60 J18 and M60 J19 (LM774),M60 J18,M60 J19,382835,405950,384332,404869
LM775,M60 between M60 J19 and M60 J18 (LM775),M60 J19,M60 J18,384437,404808,382833,405925
LM776,M60 between M60 J1 and M60 J2 (LM776),M60 J1,M60 J2,388571,390270,385057,389125
LM777,M60 between M60 J2 and M60 J1 (LM777),M60 J2,M60 J1,385045,389141,388456,390263
LM778,M60 between M60 J19 and M60 J20 (LM778),M60 J19,M60 J20,384332,404869,386170,404535
LM779,M60 between M60 J20 and M60 J19 (LM779),M60 J20,M60 J19,386169,404471,384437,404808
LM78,A3(M) between A3(M) J3 and A3(M) J4 (LM78),A3(M) J3,A3(M) J4,469568,109039,469310,107411
LM780,M60 between M60 J20 and M60 J21 (LM780),M60 J20,M60 J21,386170,404535,389487,403389
LM781,M60 between M60 J21 and M60 J20 (LM781),M60 J21,M60 J20,389487,403365,386169,404471
LM782,M60 between M60 J21 and M60 J22 (LM782),M60 J21,M60 J22,389487,403389,390569,402614
LM783,M60 between M60 J22 and M60 J21 (LM783),M60 J22,M60 J21,390575,402579,389487,403365
LM784,M60 between M60 J22 and M60 J23 (LM784),M60 J22,M60 J23,390569,402614,392418,398377
LM785,M60 between M60 J23 and M60 J22 (LM785),M60 J23,M60 J22,392384,398348,390575,402579
LM786,M60 between M60 J23 and M60 J24 (LM786),M60 J23,M60 J24,392418,398377,391065,395645
LM787,M60 between M60 J24 and M60 J23 (LM787),M60 J24,M60 J23,391050,395511,392384,398348
LM788,M60 between M60 J24 and M60 J25 (LM788),M60 J24,M60 J25,391065,395645,391742,392393
LM789,M60 between M60 J25 and M60 J24 (LM789),M60 J25,M60 J24,391448,391651,391050,395511
LM79,A3(M) between A3(M) J5 and A3(M) J4 (LM79),A3(M) J5,A3(M) J4,469272,105464,469300,107364
LM790,M60 between M60 J25 and M60 J26 (LM790),M60 J25,M60 J26,391742,392393,390952,391533
LM791,M60 between M60 J26 and M60 J25 (LM791),M60 J26,M60 J25,390964,391555,391448,391651
LM792,M60 between M60 J26 and M60 J27 (LM792),M60 J26,M60 J27,390952,391533,389944,390931
LM793,M60 between M60 J27 and M60 J26 (LM793),M60 J27,M60 J26,389935,390946,390964,391555
LM794,M60 between M60 J27 and M60 J1 (LM794),M60 J27,M60 J1,389944,390931,388571,390270
LM795,M60 between M60 J1 and M60 J27 (LM795),M60 J1,M60 J27,388456,390263,389935,390946
LM796,M60 between A560 and M60 J2 (LM796),A560,M60 J2,386725,389023,386057,389431
LM797,M60 between M60 J2 and A560 (LM797),M60 J2,A560,386278,389486,386746,389056
LM798,M60 between M60 J3 and M60 J4 (LM798),M60 J3,M60 J4,385057,389125,384386,389126
LM799,M60 between M60 J4 and M60 J3 (LM799),M60 J4,M60 J3,384127,389263,385045,389141
LM8,A1(M) between A1(M) J16 and A1(M) J17 (LM8),A1(M) J16,A1(M) J17,515930,290694,513886,294521
LM80,A3(M) between A3(M) J4 and A3(M) J5 (LM80),A3(M) J4,A3(M) J5,469310,107411,469576,105585
LM800,M60 between M60 J4 and M60 J5 (LM800),M60 J4,M60 J5,384386,389126,382483,390805
LM801,M60 between M60 J5 and M60 J4 (LM801),M60 J5,M60 J4,382472,390819,384127,389263
LM802,M60 between M60 J5 and M60 J6 (LM802),M60 J5,M60 J6,382483,390805,380589,392183
LM803,M60 between M60 J6 and M60 J5 (LM803),M60 J6,M60 J5,380544,392334,382472,390819
LM804,M60 between M60 J6 and M60 J7 (LM804),M60 J6,M60 J7,380589,392183,379171,393417
LM805,M60 between M60 J7 and M60 J6 (LM805),M60 J7,M60 J6,379159,393440,380544,392334
LM806,M60 between M60 J7 and M60 J8 (LM806),M60 J7,M60 J8,379171,393417,377803,393838
LM807,M60 between M60 J8 and M60 J7 (LM807),M60 J8,M60 J7,377809,393852,379159,393440
LM808,M60 between M60 J8 and M60 J9 (LM808),M60 J8,M60 J9,377803,393838,377581,395704
LM809,M60 between M60 J9 and M60 J8 (LM809),M60 J9,M60 J8,377565,395790,377809,393852
LM810,M61 between A666 and M61 J3 (LM810),A666,M61 J3,374569,405595,374339,404964
LM811,M61 between M61 J3 and A666 (LM811),M61 J3,A666,374160,404746,374552,405596
LM812,M61 between M61 J2 and M61 J4 (LM812),M61 J2,M61 J4,375109,403847,370372,405427
LM813,M61 between M61 J4 and M61 J2 (LM813),M61 J4,M61 J2,370265,405482,375127,403870
LM814,M61 between M61 J4 and M61 J5 (LM814),M61 J4,M61 J5,370372,405427,367684,406628
LM815,M61 between M61 J5 and M61 J4 (LM815),M61 J5,M61 J4,367576,406715,370265,405482
LM816,M61 between M61 J5 and M61 J6 (LM816),M61 J5,M61 J6,367684,406628,364004,408741
LM817,M61 between M61 J6 and M61 J5 (LM817),M61 J6,M61 J5,363933,408839,367576,406715
LM818,M61 between M61 J6 and M61 J8 (LM818),M61 J6,M61 J8,364004,408741,358821,419435
LM819,M61 between M61 J8 and M61 J6 (LM819),M61 J8,M61 J6,358787,419553,363933,408839
LM820,M61 between M61 J8 and M61 J9 (LM820),M61 J8,M61 J9,358821,419435,358524,424832
LM821,M61 between M61 J9 and M61 J8 (LM821),M61 J9,M61 J8,358542,424849,358787,419553
LM822,M61 between M61 J9 and M6 J30 (LM822),M61 J9,M6 J30,358524,424832,357155,427261
LM823,M61 between M6 J30 and M61 J9 (LM823),M6 J30,M61 J9,357260,426964,358542,424849
LM824,M621 between M62 J27 and M621 J1 (LM824),M62 J27,M621 J1,423181,427827,427591,431032
LM825,M621 between M621 J1 and M62 J27 (LM825),M621 J1,M62 J27,427690,431103,423184,427810
LM826,M621 between M621 J2 and M621 J2A (LM826),M621 J2,M621 J2A,428489,431615,429433,432014
LM827,M621 between M621 J2A and M621 J2 (LM827),M621 J2A,M621 J2,429375,431971,428609,431603
LM828,M621 between M621 J2A and M621 J3 (LM828),M621 J2A,M621 J3,429433,432014,429904,432146
LM83,A404(M) between A404(M) J9B and A404(M) J9A (LM83),A404(M) J9B,A404(M) J9A,485689,180978,487921,179413
LM830,M621 between M621 J1 and M621 J2 (LM830),M621 J1,M621 J2,427591,431032,428489,431615
LM831,M621 between M621 J2 and M621 J1 (LM831),M621 J2,M621 J1,428609,431603,427690,431103
LM833,M621 between M621 J3 and M621 J2A (LM833),M621 J3,M621 J2A,430226,431974,429375,431971
LM834,M621 between M621 J3 and M621 J4 (LM834),M621 J3,M621 J4,429904,432146,430456,431742
LM835,M621 between M621 J4 and M621 J3 (LM835),M621 J4,M621 J3,430452,431706,430226,431974
LM836,M621 between M621 J4 and M621 J5 (LM836),M621 J4,M621 J5,430456,431742,430424,430982
LM837,M621 between M621 J5 and M621 J4 (LM837),M621 J5,M621 J4,430408,431005,430452,431706
LM838,M621 between M621 J7 and M1 J43 (LM838),M621 J7,M1 J43,431874,430474,432105,428714
LM839,M621 between M1 J43 and M621 J7 (LM839),M1 J43,M621 J7,431912,428170,432030,430320
LM84,A404(M) between A404(M) J9A and A404(M) J9B (LM84),A404(M) J9A,A404(M) J9B,487726,179528,485669,180968
LM840,M62 between M62 J11 and M62 J10 (LM840),M62 J11,M62 J10,366934,393247,363160,392274
LM841,M62 between M62 J10 and M62 J11 (LM841),M62 J10,M62 J11,363121,392285,366813,393251
LM842,M62 between M62 J12 and M62 J11 (LM842),M62 J12,M62 J11,375111,399047,366934,393247
LM843,M62 between M62 J11 and M62 J12 (LM843),M62 J11,M62 J12,366813,393251,375094,399056
LM844,M62 between M62 J18 and M62 J19 (LM844),M62 J18,M62 J19,382835,405950,386342,408837
LM844A,M62 between M62 J19 and M62 J20 (LM844A),M62 J19,M62 J20,386342,408837,389554,410009
LM845,M62 between M62 J19 and M62 J18 (LM845),M62 J19,M62 J18,386456,408905,382833,405925
LM845A,M62 between M62 J20 and M62 J19 (LM845A),M62 J20,M62 J19,389748,410082,386456,408905
LM846,M62 between M62 J20 and M62 J21 (LM846),M62 J20,M62 J21,389554,410009,392933,411821
LM847,M62 between M62 J21 and M62 J20 (LM847),M62 J21,M62 J20,392675,411630,389748,410082
LM848,M62 between M62 J21 and M62 J22 (LM848),M62 J21,M62 J22,392933,411821,398778,414805
LM849,M62 between M62 J22 and M62 J21 (LM849),M62 J22,M62 J21,398778,414786,392675,411630
LM85,A404(M) between A404(M) J9A and M4 J8 (LM85),A404(M) J9A,M4 J8,487921,179413,488758,178569
LM850,M62 between M62 J22 and M62 J23 (LM850),M62 J22,M62 J23,398778,414805,409138,418113
LM851,M62 between M62 J23 and M62 J22 (LM851),M62 J23,M62 J22,409291,418184,398778,414786
LM852,M62 between M62 J23 and M62 J24 (LM852),M62 J23,M62 J24,409138,418113,411098,419482
LM853,M62 between M62 J24 and M62 J23 (LM853),M62 J24,M62 J23,411116,419472,409291,418184
LM854,M62 between M62 J24 and M62 J25 (LM854),M62 J24,M62 J25,411098,419482,416319,422073
LM855,M62 between M62 J25 and M62 J24 (LM855),M62 J25,M62 J24,416443,422181,411116,419472
LM856,M62 between M62 J25 and M62 J26 (LM856),M62 J25,M62 J26,416319,422073,417789,426026
LM857,M62 between M62 J26 and M62 J25 (LM857),M62 J26,M62 J25,418163,426718,416443,422181
LM858,M62 between M62 J26 and M62 J27 (LM858),M62 J26,M62 J27,417789,426026,423127,427817
LM859,M62 between M62 J27 and M62 J26 (LM859),M62 J27,M62 J26,423157,427800,418163,426718
LM86,A404(M) between M4 J8 and A404(M) J9A (LM86),M4 J8,A404(M) J9A,488597,178539,487726,179528
LM860,M62 between M62 J27 and M62 J28 (LM860),M62 J27,M62 J28,423127,427817,427932,426425
LM860A,M62 between M62 J28 and M62 J29 (LM860A),M62 J28,M62 J29,427932,426425,432292,426168
LM861,M62 between M62 J28 and M62 J27 (LM861),M62 J28,M62 J27,428133,426415,423157,427800
LM861A,M62 between M62 J29 and M62 J28 (LM861A),M62 J29,M62 J28,432305,426145,428133,426415
LM862,M62 between M62 J29 and M62 J30 (LM862),M62 J29,M62 J30,432292,426168,435782,425925
LM862A,M62 between M62 J30 and M62 J31 (LM862A),M62 J30,M62 J31,435782,425925,439964,423760
LM862B,M62 between M62 J31 and M62 J32 (LM862B),M62 J31,M62 J32,439964,423760,444195,423721
LM862D,M62 between M62 J32 and M62 J32a (LM862D),M62 J32,M62 J32a,444195,423721,446878,424114
LM863,M62 between M62 J30 and M62 J29 (LM863),M62 J30,M62 J29,435913,425911,432305,426145
LM863A,M62 between M62 J31 and M62 J30 (LM863A),M62 J31,M62 J30,439962,423741,435913,425911
LM863B,M62 between M62 J32 and M62 J31 (LM863B),M62 J32,M62 J31,444334,423754,439962,423741
LM863D,M62 between M62 J32a and M62 J32 (LM863D),M62 J32a,M62 J32,446865,424063,444334,423754
LM864,M62 between M62 J33 and M62 J34 (LM864),M62 J33,M62 J34,448450,422403,455809,422261
LM864A,M62 between M62 J34 and M62 J35 (LM864A),M62 J34,M62 J35,455809,422261,468904,421871
LM865,M62 between M62 J34 and M62 J33 (LM865),M62 J34,M62 J33,455925,422243,448471,422376
LM865A,M62 between M62 J35 and M62 J34 (LM865A),M62 J35,M62 J34,468619,421636,455925,422243
LM866,M62 between M62 J35 and M62 J36 (LM866),M62 J35,M62 J36,468904,421871,472061,423841
LM866A,M62 between M62 J36 and M62 J37 (LM866A),M62 J36,M62 J37,472061,423841,474881,427028
LM866B,M62 between M62 J37 and M62 J38 (LM866B),M62 J37,M62 J38,474881,427028,487723,431248
LM867,M62 between M62 J36 and M62 J35 (LM867),M62 J36,M62 J35,472079,423832,468619,421636
LM867A,M62 between M62 J37 and M62 J36 (LM867A),M62 J37,M62 J36,474903,427023,472079,423832
LM867B,M62 between M62 J38 and M62 J37 (LM867B),M62 J38,M62 J37,487845,431201,474903,427023
LM87,A627(M) between A663 and A627(M) (LM87),A663,A627(M),390773,406453,389504,408547
LM872,M62 between M62 J7 and M62 J6 (LM872),M62 J7,M62 J6,350639,389909,346337,389345
LM873,M62 between M62 J6 and M62 J7 (LM873),M62 J6,M62 J7,346343,389368,350408,389837
LM874,M62 between M62 J10 and M62 J9 (LM874),M62 J10,M62 J9,363160,392274,360437,391917
LM875,M62 between M62 J9 and M62 J10 (LM875),M62 J9,M62 J10,360295,391926,363121,392285
LM876,M62 between M62 J8 and M62 J7 (LM876),M62 J8,M62 J7,357171,391162,350639,389909
LM876A,M62 between M62 J9 and M62 J8 (LM876A),M62 J9,M62 J8,360437,391917,357171,391162
LM877,M62 between M62 J7 and M62 J8 (LM877),M62 J7,M62 J8,350408,389837,357167,391181
LM877A,M62 between M62 J8 and M62 J9 (LM877A),M62 J8,M62 J9,357167,391181,360295,391926
LM88,A627(M) between A627(M) and A663 (LM88),A627(M),A663,389496,408652,390783,406443
LM882,M65 between M65 J1 and M65 J1A (LM882),M65 J1,M65 J1A,356442,424555,355602,424743
LM883,M65 between M65 J1A and M65 J1 (LM883),M65 J1A,M65 J1,355610,424871,356438,424579
LM884,M65 between M65 J2 and M65 J1 (LM884),M65 J2,M65 J1,358542,424832,356442,424555
LM885,M65 between M65 J1 and M65 J2 (LM885),M65 J1,M65 J2,356438,424579,358524,424849
LM886,M65 between M65 J3 and M65 J2 (LM886),M65 J3,M65 J2,363010,424524,358542,424832
LM887,M65 between M65 J2 and M65 J3 (LM887),M65 J2,M65 J3,358524,424849,362920,424543
LM888,M65 between M65 J4 and M65 J3 (LM888),M65 J4,M65 J3,368515,424547,363010,424524
LM889,M65 between M65 J3 and M65 J4 (LM889),M65 J3,M65 J4,362920,424543,368438,424573
LM89,A627(M) between A627(M) and A664 (LM89),A627(M),A664,389504,408547,388582,408387
LM890,M65 between M65 J5 and M65 J4 (LM890),M65 J5,M65 J4,370708,425548,368515,424547
LM891,M65 between M65 J4 and M65 J5 (LM891),M65 J4,M65 J5,368438,424573,370640,425486
LM892,M65 between M65 J6 and M65 J5 (LM892),M65 J6,M65 J5,371744,428295,370708,425548
LM893,M65 between M65 J5 and M65 J6 (LM893),M65 J5,M65 J6,370640,425486,371623,428477
LM894,M65 between M65 J7 and M65 J6 (LM894),M65 J7,M65 J6,374371,430039,371744,428295
LM895,M65 between M65 J6 and M65 J7 (LM895),M65 J6,M65 J7,371623,428477,374265,429983
LM896,M65 between M65 J8 and M65 J7 (LM896),M65 J8,M65 J7,378375,431705,374371,430039
LM897,M65 between M65 J7 and M65 J8 (LM897),M65 J7,M65 J8,374265,429983,378372,431727
LM9,A1(M) between A1(M) J17 and A1(M) J16 (LM9),A1(M) J17,A1(M) J16,513920,294515,515920,290807
LM90,A627(M) between A664 and A627(M) (LM90),A664,A627(M),388554,408405,389496,408652
LM900,M66 between A56 and M66 J1 (LM900),A56,M66 J1,379540,418918,380432,414982
LM901,M66 between M66 J1 and A56 (LM901),M66 J1,A56,380638,414665,379520,418936
LM902,M66 between M66 J1 and M66 J2 (LM902),M66 J1,M66 J2,380432,414982,382118,410617
LM903,M66 between M66 J2 and M66 J1 (LM903),M66 J2,M66 J1,382071,410506,380638,414665
LM904,M66 between M66 J2 and M66 J3 (LM904),M66 J2,M66 J3,382118,410617,382129,409158
LM905,M66 between M66 J3 and M66 J2 (LM905),M66 J3,M66 J2,382111,409163,382071,410506
LM906,M66 between M66 J3 and M66 J4 (LM906),M66 J3,M66 J4,382129,409158,382835,405950
LM907,M66 between M66 J4 and M66 J3 (LM907),M66 J4,M66 J3,382833,405925,382111,409163
LM908,M67 between M67 J1 and M60 J24 (LM908),M67 J1,M60 J24,392474,395717,391050,395511
LM909,M67 between M60 J24 and M67 J1 (LM909),M60 J24,M67 J1,391065,395645,392469,395735
LM91,A627(M) between A627(M) and M62 J20 (LM91),A627(M),M62 J20,389504,408547,389554,410009
LM910,M67 between M67 J2 and M67 J1 (LM910),M67 J2,M67 J1,393689,395473,392474,395717
LM911,M67 between M67 J1 and M67 J2 (LM911),M67 J1,M67 J2,392469,395735,393646,395493
LM912,M67 between M67 J3 and M67 J2 (LM912),M67 J3,M67 J2,394534,395192,393689,395473
LM913,M67 between M67 J2 and M67 J3 (LM913),M67 J2,M67 J3,393646,395493,394656,395185
